Clade	Species	TaxId	Phylum	Class	Order	Family	Accession_assembly	BUSCO_Duplicate	Unified_Cvalues_methods	n_markers	dS_sum	dN_sum	dS_ratesmean	dN_ratesmean	dNdS_ratesmean	BodyLength_cm	Source_BodyLength	BasalMetRate_mLO2hr_pantheria	AgeatFirstBirth_d_pantheria	PopulationDensity_nperkm2_pantheria	PopulationGrpSize_pantheria	MaxLongevity_y	Source_MaxLongevity	Mass_g	Source_mass	Metabolic_rate_w	Source_metabolic_rate	SexMaturity_d	Source_SexMaturity	DepthRangeShallow	DepthRangeDeep	DepthRange	BodyLenght_cm_log	MaxLongevity_y_log	Mass_g_log	Overall_repeat_bp	Overall_repeat_gsperc	dnaPT_DNA_bp	dnaPT_DNA_gsperc	dnaPT_RC_bp	dnaPT_RC_gsperc	dnaPT_LTR_bp	dnaPT_LTR_gsperc	dnaPT_PLE_bp	dnaPT_PLE_gsperc	dnaPT_LINE_bp	dnaPT_LINE_gsperc	dnaPT_SINE_bp	dnaPT_SINE_gsperc	dnaPT_Retroposon_bp	dnaPT_Retroposon_gsperc	dnaPT_Unknown_bp	dnaPT_Unknown_gsperc	dnaPT_Other_bp	dnaPT_Other_gsperc	DNA_recent_gsperc	LINE_recent_gsperc	LTR_recent_gsperc	Other_recent_gsperc	Overall_TEs_recent_gsperc	PLE_recent_gsperc	RC_recent_gsperc	Retroposon_recent_gsperc	SINE_recent_gsperc	Unknown_recent_gsperc	DNA_recent_bp	LINE_recent_bp	LTR_recent_bp	Other_recent_bp	Overall_TEs_recent_bp	PLE_recent_bp	RC_recent_bp	Retroposon_recent_bp	SINE_recent_bp	Unknown_recent_bp	n_markers_phylter_noshortbr	dN_CM_phylter_noshortbr	dS_CM_phylter_noshortbr	dNdS_CM_phylter_noshortbr	n_markers_phylter_noshortbr_gcpoor	dN_CM_phylter_noshortbr_gcpoor	dS_CM_phylter_noshortbr_gcpoor	dNdS_CM_phylter_noshortbr_gcpoor	n_markers_phylter_noshortbr_gcrich	dN_CM_phylter_noshortbr_gcrich	dS_CM_phylter_noshortbr_gcrich	dNdS_CM_phylter_noshortbr_gcrich	brlen_coevol_gcpoor	dS_coevol_gcpoor	dNdS_coevol_gcpoor	brlen_coevol_gcrich	dS_coevol_gcrich	dNdS_coevol_gcrich
Aves	Quiscalus_mexicanus	64278	Chordata	Aves	Passeriformes	Icteridae	GCA_013399035.1	0.6	1266262137.21991	713	11.7966017773344	1.88309729941783	0.016545023530623	0.002641090181512	0.159630488081402	NA	NA	NA	NA	NA	NA	12.5	AnAge	169	CRC_AvianBodyMasses	NA	NA	547.5	AnAge	NA	NA	NA	NA	2.52572864430826	5.12989871492307	201924508	16.06	44796	NA	8220	NA	34257392	2.72	12392	NA	22925604	1.82	153164	0.01	NA	NA	139586396	11.1	4936544	0.39	0.003410241203865	0.38672967017977	1.28902958675363	NA	10.9709538943707	0.000540647995735	0.00049905968837	NA	0.0039508891996	9.28679379934973	43183	4897011	16322494	NA	138921035	6846	6319	NA	50029	117595154	520	0.0420030649238567	0.0420030649238567	0.182853220556154	44	0.0321394480304872	0.0321394480304872	0.237761030651561	44	0.0593656545506933	0.0593656545506933	0.117205550084306	0.0768934	0.149332	0.202126	0.0547573	0.289919	0.133033
Aves	Setophaga_kirtlandii	298831	Chordata	Aves	Passeriformes	Parulidae	GCA_013399655.1	0.4	1271685648.74176	743	29.532410960107	3.96197364422061	0.039747524845366	0.005332400597874	0.134156796394731	NA	NA	NA	NA	NA	NA	9	AnAge	15.5	AnAge	NA	NA	365	AnAge	NA	NA	NA	NA	2.19722457733622	2.7408400239252	467405876	37.03	216080	0.01	2456	NA	34235356	2.71	2760	NA	17936968	1.42	197888	0.01	1860	NA	405375400	32.11	9437108	0.74	0.007064228044985	0.363536043238092	1.45339176996533	NA	25.9876647710291	0.000209000829733	0.000167200663787	0.000167200663787	0.004556218088186	24.1584059088715	89835	4623036	18482575	NA	330481403	2658	2126	2126	57941	307218981	592	0.110030460315339	0.110030460315339	0.143428158697774	46	0.0989332885056997	0.0989332885056997	0.153115919897799	50	0.127207864613926	0.127207864613926	0.0803138738340115	0.134367	0.24242	0.176866	0.11403	0.307804	0.110814
Aves	Diglossa_brunneiventris	547948	Chordata	Aves	Passeriformes	Thraupidae	GCA_019023105.1	1.6	1312345594.90761	764	24.3429494328695	3.28849398765854	0.031862499257683	0.004304311502171	0.135090203293861	NA	NA	NA	NA	NA	NA	NA	NA	12	CRC_AvianBodyMasses	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.484906649788	198901040	15.25	149052	0.01	47052	NA	31296340	2.4	48164	NA	24680424	1.89	69660	NA	4524	NA	134050116	10.28	8555708	0.65	0.007525010398196	0.739776931328123	1.50322344081785	NA	11.5940343541808	0.003146822530155	0.000866516348883	0.000228030618127	0.001550608203265	9.33771699393621	98754	9708430	19727487	NA	152153799	41297	11372	2993	20349	122543118	594	0.0869065067371511	0.0869065067371511	0.154276666233325	49	0.0692545123970586	0.0692545123970586	0.194211964136332	48	0.127107734643323	0.127107734643323	0.113288748165426	0.123609	0.196923	0.19096	0.113712	0.305953	0.143166
Aves	Passerina_amoena	142471	Chordata	Aves	Passeriformes	Fringillidae	GCA_013401095.1	0.6	1359420000	628	16.5987785178605	2.75031827498906	0.026431175983854	0.004379487699027	0.165694016100623	NA	NA	NA	NA	NA	NA	9.9	AnAge	15.5	CRC_AvianBodyMasses	NA	NA	365	AnAge	NA	NA	NA	NA	2.29253475714054	2.7408400239252	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	493	0.0717795121322891	0.0717795121322891	0.168076393159076	46	0.0660650695295337	0.0660650695295337	0.16927245052004	30	0.132261390745371	0.132261390745371	0.164202604234219	0.0900351	0.238137	0.181829	0.0905142	0.38551	0.172114
Aves	Pheucticus_melanocephalus	371919	Chordata	Aves	Passeriformes	Fringillidae	GCA_013398405.1	0.8	1274894177.16133	666	16.9730941416918	2.73148242636539	0.025485126338877	0.004101324964513	0.16093014058385	NA	NA	NA	NA	NA	NA	25	AnAge	47.15	CRC_AvianBodyMasses	NA	NA	365	AnAge	NA	NA	NA	NA	3.2188758248682	3.85333400907947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	528	0.0677310210125901	0.0677310210125901	0.161350162571764	46	0.0564872362978052	0.0564872362978052	0.183458075348767	38	0.101872415693038	0.101872415693038	0.0949625803710439	0.0900351	0.213726	0.193024	0.0905142	0.257568	0.141243
Aves	Melospiza_melodia	44397	Chordata	Aves	Passeriformes	Passerellidae	GCA_013398205.1	1.3	1398540000	783	27.3314734043081	3.892275368708	0.034906096301798	0.004970977482386	0.142410008825008	NA	NA	NA	NA	NA	NA	11.3	AnAge	20	CRC_AvianBodyMasses	0.0125	AnAge	365	AnAge	NA	NA	NA	NA	2.42480272571829	2.99573227355399	330461240	23.83	83156	NA	131940	NA	33358740	2.4	27164	NA	21460916	1.54	192388	0.01	NA	NA	266996508	19.25	8210428	0.59	0.002865691376368	0.393299480410167	1.2082887790522	NA	16.0020206456403	0.000966337789706	0.005464806810749	NA	0.00499829891227	14.3860039633178	40078	5500451	16898402	NA	223794660	13515	76428	NA	69903	201194020	606	0.0776547405094323	0.0776547405094323	0.150698498954067	49	0.05581891367249	0.05581891367249	0.174796581335348	45	0.101512463930868	0.101512463930868	0.120599220911227	0.071325	0.257677	0.183736	0.0689213	0.385181	0.129643
Aves	Zonotrichia_albicollis	44394	Chordata	Aves	Passeriformes	Passerellidae	GCA_000385455.1	0.5	1300740000	689	18.9998329852858	2.79575798768834	0.027575954985901	0.004057703900854	0.147146450700566	NA	NA	NA	NA	NA	NA	14.9	AnAge	24.4	CRC_AvianBodyMasses	0.011393442622951	AnAge	365	AnAge	NA	NA	NA	NA	2.70136121295141	3.19458313229916	218197980	16.95	117436	NA	13208	NA	37028776	2.87	56796	NA	17731416	1.37	92100	NA	NA	NA	155958332	12.12	7199916	0.55	0.010039927145297	0.501712743503685	1.83801570199227	NA	11.9063325847821	0.004452736050315	0.000652311650683	NA	0.002268910089333	9.54919025435049	130593	6525978	23907805	NA	154870430	57919	8485	NA	29513	124210137	551	0.0793022413218368	0.0793022413218368	0.163937788758126	49	0.0602809918324708	0.0602809918324708	0.175833138305718	35	0.0957193804841151	0.0957193804841151	0.0740438892159942	0.071325	0.290433	0.189771	0.0689213	0.390634	0.119049
Aves	Fringilla_coelebs_coelebs	1471794	Chordata	Aves	Passeriformes	Fringillidae	GCA_015532645.2	0.8	1209942219.24882	742	27.621813115174	4.06612583012895	0.037226163227997	0.005479953948961	0.147207057450375	NA	NA	NA	NA	NA	NA	29	AnAge	21.4	CRC_AvianBodyMasses	0.017429906542056	AnAge	365	AnAge	NA	NA	NA	NA	3.36729582998647	3.06339092202781	249381188	20.75	134112	0.01	21360	NA	27643304	2.3	26800	NA	17715392	1.47	196712	0.01	584	NA	190395952	15.84	13246972	1.1	0.008377534802673	0.277751182429198	1.00640522375199	NA	12.41048005668	0.000574459529326	0.000239358137219	4.78716274438466e-05	0.005026520881604	11.1120579055206	101363	3360629	12176922	NA	150159638	6951	2896	579	60818	134449480	591	0.102048530515929	0.102048530515929	0.150350454895682	49	0.0934044690618646	0.0934044690618646	0.206888489446435	47	0.134602772500559	0.134602772500559	0.110276979801487	0.183324	0.17874	0.20337	0.154396	0.241723	0.134368
Aves	Hemignathus_wilsoni	2518271	Chordata	Aves	Passeriformes	Fringillidae	GCA_009690805.1	0.8	1255487330.75633	758	18.7420344889169	2.94090776015207	0.024725639167437	0.003879825541098	0.156915075676079	NA	NA	NA	NA	NA	NA	13	AnAge	28	AnAge	NA	NA	365	AnAge	NA	NA	NA	NA	2.56494935746154	3.3322045101752	125181524	10.05	38808	NA	1796	NA	26108992	2.09	15192	NA	17061068	1.37	157252	0.01	868	NA	77997872	6.26	3799676	0.3	0.002713712061401	0.205807922736637	1.0880176224843	NA	5.98749810944726	0.00054274241228	7.23656549706883e-05	7.23656549706883e-05	0.001953872684209	4.68824514010353	34070	2583892	13659923	NA	75172280	6814	909	909	24531	58860324	587	0.0685684560668651	0.0685684560668651	0.171706588798091	49	0.0575072449499953	0.0575072449499953	0.178912971385451	47	0.115626055201296	0.115626055201296	0.118894097479639	0.137809	0.142164	0.194976	0.120563	0.263643	0.13905
Aves	Loxia_curvirostra	64802	Chordata	Aves	Passeriformes	Fringillidae	GCA_013398455.1	0.9	1250373597.58454	797	10.4288804816295	1.8643394295469	0.013085169989498	0.002339196272957	0.178766976266622	NA	NA	NA	NA	NA	NA	16.1	AnAge	36.4	CRC_AvianBodyMasses	0.016675824175824	AnAge	365	AnAge	NA	NA	NA	NA	2.77881927199042	3.5945687746427	279957340	22.58	73084	NA	NA	NA	50848376	4.1	1888	NA	21082244	1.7	81304	NA	2592	NA	202453160	16.33	5414692	0.43	0.002171344073022	0.482774433049182	2.9864077541273	NA	15.8644654390108	0.000147209767663	NA	0.000110407325747	0.000846456164059	12.3919710320619	27150	6036484	37341254	NA	198365087	1841	NA	1381	10584	154945934	470	0.0213642981379317	0.0213642981379317	0.178607567591305	35	0.0147276773807477	0.0147276773807477	0.254257084568502	39	0.0329912630982907	0.0329912630982907	0.0909168444971424	0.0271709	0.172848	0.224866	0.0344953	0.201759	0.109279
Aves	Loxia_leucoptera	96539	Chordata	Aves	Passeriformes	Fringillidae	GCA_013396895.1	0.9	1249812354.43847	750	5.45947875576773	0.805578122713671	0.00727930500769	0.001074104163618	0.147555867281764	NA	NA	NA	NA	NA	NA	4	AnAge	25.2	CRC_AvianBodyMasses	0.018647619047619	AnAge	NA	NA	NA	NA	NA	NA	1.38629436111989	3.22684399451738	287623768	23.18	66480	NA	10212	NA	42770016	3.44	1644	NA	20845768	1.68	140728	0.01	3976	NA	216118800	17.42	7666144	0.61	0.005318069900882	0.41429480034293	2.21570520394584	NA	16.6117633132948	0.000128662981473	0.000514651925892	0.000343101283928	0.003002136234369	13.9719420347536	66466	5177908	27692157	NA	207615870	1608	6432	4288	37521	174623058	434	0.0204099901209779	0.0204099901209779	0.204326976387119	33	0.0145370045429033	0.0145370045429033	0.278318094109912	42	0.0364157343981042	0.0364157343981042	0.109744926764533	0.0271709	0.180956	0.211012	0.0344953	0.31428	0.10669
Aves	Montifringilla_adamsi	356906	Chordata	Aves	Passeriformes	Passeridae	GCA_017590115.1	1	1273528055.67845	799	13.5321249229723	2.17808669476896	0.016936326561918	0.002726015888322	0.160956738662043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	211212492	16.78	15248	NA	NA	NA	18238004	1.44	NA	NA	15190464	1.2	45252	NA	NA	NA	145541568	11.56	32181956	2.55	0.001105108442713	0.269646460021913	0.793099492386855	NA	10.0787994943866	NA	NA	NA	0.000184184740452	9.00889664920595	14074	3434023	10100345	NA	128356339	NA	NA	NA	2346	114730826	566	0.0374855257763807	0.0374855257763807	0.174059557075413	46	0.0316230416032498	0.0316230416032498	0.204571350486614	42	0.0513176617895413	0.0513176617895413	0.122941079424648	0.0850766	0.128542	0.202557	0.0929132	0.145501	0.146791
Aves	Pyrgilauda_ruficollis	221976	Chordata	Aves	Passeriformes	Passeridae	GCA_017590135.1	1	1271812441.3862	775	8.61645976792387	1.41161698954939	0.011118012603773	0.001821441276838	0.163827955746321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	163958776	13.02	13368	NA	6308	NA	16623528	1.32	NA	NA	17541924	1.39	45420	NA	57052	NA	123381636	9.8	6289540	0.49	0.001116482633113	0.288112869755662	0.602659220230424	NA	8.21580341939403	NA	9.0525618901025e-05	0.000754380157509	0.001056132220512	7.32201380877791	14200	3664255	7664695	NA	104489610	NA	1151	9594	13432	93122283	525	0.0322448608002378	0.0322448608002378	0.177081600708729	41	0.0292260288950992	0.0292260288950992	0.201596113617696	38	0.0413213343843946	0.0413213343843946	0.104823086426293	0.0850766	0.110098	0.202118	0.0929132	0.108021	0.140334
Aves	Onychostruthus_taczanowskii	356909	Chordata	Aves	Passeriformes	Passeridae	GCA_017590055.1	0.5	1256985164.86284	799	13.2309206982957	2.02871136265458	0.016559350060445	0.002539063032108	0.153331080195795	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	115691364	9.31	12368	NA	4132	NA	14044208	1.13	NA	NA	14109344	1.13	9040	NA	NA	NA	80946120	6.51	6566152	0.52	0.00085464584144	0.233371730078272	0.637378843936595	NA	6.251280299532	NA	0.000293784507995	NA	0.000667692063625	5.37871360310407	10743	2933448	8011758	NA	78577666	NA	3693	NA	8393	67609632	574	0.0460413976869295	0.0460413976869295	0.175832232985913	43	0.0432317213434101	0.0432317213434101	0.174109772432819	41	0.0513844868885948	0.0513844868885948	0.142156955898911	0.101604	0.132668	0.202744	0.122301	0.115707	0.156973
Aves	Passer_domesticus	48849	Chordata	Aves	Passeriformes	Passeridae	GCA_001700915.1	0.7	1535460000	745	10.3418604385328	1.44742372204748	0.013881691863802	0.001942850633621	0.139957769750452	NA	NA	NA	NA	NA	NA	23	AnAge	27.7	CRC_AvianBodyMasses	0.011311672683514	AnimalTraits	258.5	AnAge	NA	NA	NA	NA	3.13549421592915	3.32143241319329	337793160	22.24	165060	0.01	NA	NA	27743772	1.82	2304	NA	21613468	1.42	4564	NA	NA	NA	278993176	18.37	9270816	0.61	0.006472693122891	0.448634192152219	1.04616352574786	NA	14.8546915193336	0.00011599808464	NA	NA	0.000324794636991	13.3524235247828	99386	6888599	16063422	NA	228087846	1781	NA	NA	4987	205021122	525	0.0358262149013363	0.0358262149013363	0.165200485046643	43	0.0294627620736407	0.0294627620736407	0.30675951329439	44	0.0443241635588285	0.0443241635588285	0.069530620638689	0.0719868	0.145527	0.241326	0.0601728	0.220332	0.100039
Aves	Passer_montanus	9160	Chordata	Aves	Passeriformes	Passeridae	GCA_014805655.1	0.9	1264528564.09589	793	15.349920857219	2.35363450051089	0.01935677283382	0.002968013241502	0.153332028380067	NA	NA	NA	NA	NA	NA	13.1	AnAge	22	CRC_AvianBodyMasses	0.009122727272727	AnAge	319	AnAge	NA	NA	NA	NA	2.57261223020711	3.09104245335832	159189096	12.74	32148	NA	NA	NA	18852824	1.5	NA	NA	15039568	1.2	71808	NA	NA	NA	121193764	9.69	3998984	0.32	0.002016054157581	0.312249651169577	0.885764004944638	NA	9.03964199122486	NA	NA	NA	0.000504013539395	7.83910826741367	25494	3948486	11200739	NA	114308855	NA	NA	NA	6373	99127763	563	0.0389476412031432	0.0389476412031432	0.162322791191956	41	0.0310420084927777	0.0310420084927777	0.241001424669229	43	0.048567464130005	0.048567464130005	0.0946823453633645	0.0719868	0.142787	0.228465	0.0601728	0.224996	0.103012
Aves	Urocynchramus_pylzowi	571890	Chordata	Aves	Passeriformes	Fringillidae	GCA_013397555.1	0.7	1253572731.44607	747	38.2689234896605	5.59403186681003	0.051230151927256	0.007488663810991	0.146176880787395	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	231999108	18.64	114912	NA	42268	NA	24186876	1.94	1840	NA	25859332	2.07	214312	0.01	5200	NA	173575192	13.94	7999176	0.64	0.008482799393047	0.46979993577309	1.0389698072933	NA	13.5131427127127	0.00012983876622	0.000995430541021	0.00030295712118	0.005453228181245	11.9889221564661	106338	5889284	13024242	NA	169397072	1628	12478	3798	68360	150289859	601	0.138308407158355	0.138308407158355	0.159645474901804	50	0.122252972539801	0.122252972539801	0.191188663079568	47	0.182461801645313	0.182461801645313	0.114003785765378	0.257366	0.16386	0.191834	0.219176	0.237577	0.146115
Aves	Peucedramus_taeniatus	135441	Chordata	Aves	Passeriformes	Fringillidae	GCA_013400575.1	0.4	1261578687.39395	711	41.0042930786057	5.74186613924707	0.057671298282146	0.008075761095987	0.140030853067991	NA	NA	NA	NA	NA	NA	NA	NA	11	CRC_AvianBodyMasses	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.39789527279837	287729024	22.97	162616	0.01	20692	NA	39811736	3.17	8588	NA	28307164	2.26	211596	0.01	NA	NA	208501296	16.64	10705336	0.85	0.013634170879582	0.46742627235255	1.78012771831282	NA	15.7682225687212	0.00021710463184	0.000477630190049	NA	0.008814448052723	13.4971778568907	172006	5896950	22457712	NA	198928535	2739	6026	NA	111201	170277519	566	0.15674963481217	0.15674963481217	0.154094189477442	41	0.138800457686621	0.138800457686621	0.207676817294222	48	0.20028290618556	0.20028290618556	0.0890661439569435	0.270554	0.180308	0.202222	0.23348	0.236585	0.120548
Aves	Ploceus_nigricollis	441696	Chordata	Aves	Passeriformes	Ploceidae	GCA_013399945.1	0.8	1259068377.24579	730	29.1033849613026	4.47927588108082	0.039867650631921	0.006135994357645	0.153909103255058	NA	NA	NA	NA	NA	NA	NA	NA	27.1	CRC_AvianBodyMasses	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.29953372788566	209826420	16.78	119676	NA	2840	NA	31037496	2.48	7596	NA	30072368	2.4	236944	0.01	1096	NA	143981072	11.52	4367332	0.34	0.008667615073371	0.559470835631401	1.24283250761004	NA	11.7450927715109	0.00025873477831	0.000172489852206	8.62449261031912e-05	0.005605920196707	9.92799842344275	109131	7044120	15648111	NA	147878749	3258	2172	1086	70582	125000289	593	0.115468930381053	0.115468930381053	0.160032657844208	50	0.100306370312678	0.100306370312678	0.168176479298319	49	0.158205703837693	0.158205703837693	0.10059755048205	0.277698	0.12308	0.180094	0.253005	0.173735	0.125845
Aves	Dicaeum_eximium	667154	Chordata	Aves	Passeriformes	Dicaeidae	GCA_013396995.1	0.9	1234369455.98801	769	58.0606942	8.06695783279652	0.075501552925878	0.010490192240308	0.138940085783482	NA	NA	NA	NA	NA	NA	NA	NA	7.9	CRC_AvianBodyMasses	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.06686275947298	206298396	16.83	147144	0.01	488	NA	26219036	2.14	41572	NA	20618244	1.68	175684	0.01	21168	NA	149413008	12.19	9662052	0.78	0.010291073056241	0.287847366955451	1.15013551354184	NA	11.8658666726626	0.002983546390255	NA	0.000216199013787	0.004107781261945	10.4102851924431	127030	3553100	14196921	NA	146468634	36828	NA	2669	50705	128501381	606	0.190183897140415	0.190183897140415	0.160465412708354	50	0.136261996088889	0.136261996088889	0.200397888432362	46	0.273465388042341	0.273465388042341	0.0979918015472345	0.319251	0.148602	0.197748	0.28314	0.268142	0.129095
Aves	Certhia_americana	186443	Chordata	Aves	Passeriformes	Certhiidae	GCA_018697195.1	1.7	1173600000	755	14.4359984893673	2.10594790413822	0.019120527800487	0.002789334972369	0.145881693302292	NA	NA	NA	NA	NA	NA	NA	NA	8.1	CRC_AvianBodyMasses	0.028024691358025	AnimalTraits	365	AnAge	NA	NA	NA	NA	NA	2.09186406167839	127533008	10.94	33180	NA	NA	NA	19781592	1.69	25572	NA	17114552	1.46	101196	NA	1720	NA	86776884	7.44	3698312	0.31	0.00268060842988	0.22872900657139	0.901220554125627	NA	6.37823969805627	0.001510888387751	NA	NA	0.003265468450945	5.24083317209067	31460	2684364	10576724	NA	74855021	17732	NA	NA	38324	61506418	533	0.0348149874835038	0.0348149874835038	0.172691676657552	41	0.0270971356191964	0.0270971356191964	0.190967947445886	36	0.0444922676881135	0.0444922676881135	0.122649644740997	0.04368	0.202029	0.193831	0.0495373	0.245557	0.129978
Aves	Certhia_brachydactyla	73330	Chordata	Aves	Passeriformes	Certhiidae	GCA_013400355.1	0.5	1251003169.74045	760	13.7986091509883	1.71014391021544	0.018156064672353	0.002250189355547	0.12393596278455	NA	NA	NA	NA	NA	NA	NA	NA	8.2	CRC_AvianBodyMasses	NA	NA	365	AnAge	NA	NA	NA	NA	NA	2.10413415427021	161901148	13.03	75960	NA	8416	NA	22077552	1.77	548	NA	21160508	1.7	160052	0.01	2768	NA	116030524	9.34	2384820	0.19	0.006477636923732	0.286560361924021	0.751620374441733	NA	8.69311744642115	4.28982577730571e-05	0.000300287804411	0.000214491288865	0.003903741457348	7.64399765432326	81035	3584879	9402795	NA	108751175	537	3757	2683	48836	95626653	533	0.0367971347809248	0.0367971347809248	0.156557796168577	41	0.0231649773883093	0.0231649773883093	0.223382204873509	39	0.0740672091899508	0.0740672091899508	0.128732533940702	0.04368	0.169183	0.198047	0.0495373	0.287795	0.133664
Aves	Polioptila_caerulea	66707	Chordata	Aves	Passeriformes	Certhiidae	GCA_013397295.1	0.6	1349640000	741	32.7034924177228	4.9192699959375	0.044134267770206	0.006638690952682	0.150420326156714	NA	NA	NA	NA	NA	NA	4.2	AnAge	5.8	CRC_AvianBodyMasses	NA	NA	319	AnAge	NA	NA	NA	NA	1.43508452528932	1.75785791755237	184868140	13.79	77520	NA	12068	NA	31861824	2.37	4712	NA	27270644	2.03	278356	0.02	1904	NA	118263052	8.82	7098060	0.52	0.006176689657678	0.414726358518483	1.12593382060552	NA	9.0584989029311	0.000403705206384	0.000645928330215	8.07410412768388e-05	0.008477809334068	7.50205385023748	83363	5597313	15196053	NA	122257125	5449	8718	1090	114420	101250720	599	0.119365502184543	0.119365502184543	0.147398425727759	50	0.0979933892650735	0.0979933892650735	0.180181657950547	47	0.151836396210165	0.151836396210165	0.0843859765738023	0.178413	0.190551	0.182046	0.152646	0.269446	0.108267
Aves	Thryothorus_ludovicianus	74200	Chordata	Aves	Passeriformes	Certhiidae	GCA_013397245.1	0.6	1254217809.10096	736	41.788367097034	5.80025338117969	0.056777672686188	0.007880779050516	0.13880067071564	NA	NA	NA	NA	NA	NA	9.2	AnAge	17.2	CRC_AvianBodyMasses	NA	NA	365	AnAge	NA	NA	NA	NA	2.21920348405499	2.84490938381941	196169264	15.76	64068	NA	11016	NA	32088236	2.57	10064	NA	24986252	2	3882168	0.31	1176	NA	111362876	8.94	23763408	1.9	0.005519670726552	0.445044360171896	1.16352149974472	NA	8.92514030208489	0.000167262749289	0.000292709811257	0.000125447061967	0.221581327121195	7.08888802469802	69229	5581826	14593094	NA	111940699	2098	3671	1573	2779112	88910096	588	0.15439678090742	0.15439678090742	0.141392938367437	48	0.131992372598352	0.131992372598352	0.181147673707514	50	0.191214115643146	0.191214115643146	0.105329444228564	0.178413	0.252701	0.185844	0.152646	0.33763	0.135592
Aves	Sitta_europaea	50251	Chordata	Aves	Passeriformes	Sittidae	GCA_013400255.1	1.2	1241311069.75204	731	54.4196107756968	7.59127982095883	0.074445431977697	0.01038478771677	0.139495297977196	NA	NA	NA	NA	NA	NA	12.9	AnAge	22.6	CRC_AvianBodyMasses	NA	NA	365	AnAge	NA	NA	NA	NA	2.55722731136763	3.11794990627824	183449876	14.88	98676	NA	9156	NA	29653676	2.4	4756	NA	21605008	1.75	118332	NA	1376	NA	125406008	10.17	6552888	0.53	0.007422092186777	0.333774559878717	1.17835594948761	NA	10.2902696810608	0.00030742393673	0.000351341641978	8.78354104943992e-05	0.00439177052472	8.76557870799381	92131	4143181	14627063	NA	127734257	3816	4361	1090	54516	108808099	589	0.206310861039467	0.206310861039467	0.151779401594942	49	0.151373942969996	0.151373942969996	0.195270126736145	47	0.272995095124449	0.272995095124449	0.0914419051047498	0.272087	0.195047	0.19637	0.229132	0.325142	0.114669
Aves	Cyanistes_caeruleus	156563	Chordata	Aves	Passeriformes	Paridae	GCA_002901205.1	0.4	1442464030.29748	754	55.16705619	7.72457453729839	0.073165857015915	0.010244793816046	0.140021510495218	NA	NA	NA	NA	NA	NA	14.6	AnAge	10.6	CRC_AvianBodyMasses	NA	NA	365	AnAge	NA	NA	NA	NA	2.68102152871429	2.36085400111802	162356424	11.36	41320	NA	19296	NA	22362760	1.56	2932	NA	16176800	1.13	56108	NA	668	NA	121502280	8.5	2194260	0.15	0.002036515284754	0.170586440032686	0.862549077896992	NA	7.74195427966616	0.000113139738042	0.000989972707867	5.65698690209538e-05	0.000905117904335	6.70471744623246	29376	2460648	12441960	NA	111674906	1632	14280	816	13056	96713137	607	0.195006315508119	0.195006315508119	0.149523329256599	47	0.163218347810155	0.163218347810155	0.171598883818959	48	0.253005984352115	0.253005984352115	0.0935222449986407	0.302301	0.182829	0.183551	0.26027	0.277878	0.120706
Aves	Chloebia_gouldiae	44316	Chordata	Aves	Passeriformes	Passeridae	GCA_003676055.1	3	1301829493.41605	747	26.2425235525059	4.27060546592883	0.035130553617812	0.005717008655862	0.162736082045777	NA	NA	NA	NA	NA	NA	NA	NA	13.8	CRC_AvianBodyMasses	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.62466859216316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	599	0.0940143104194091	0.0940143104194091	0.181385088661877	50	0.0803031087118367	0.0803031087118367	0.227092111218155	47	0.120062329307556	0.120062329307556	0.105359207866988	0.133122	0.208581	0.219938	0.101128	0.327572	0.135391
